country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Karnataka,Hubballi,"Deshpande Nagar, Hubballi - KSPCB","09-01-2025 18:00:00",15.351773,75.140726,OZONE,8,8,8
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","09-01-2025 18:00:00",15.3714823,75.1160168,OZONE,8,43,8
India,Karnataka,Kalaburagi,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB","09-01-2025 18:00:00",17.321993,76.822628,OZONE,37,81,71
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB","09-01-2025 18:00:00",28.4501238,77.0263051,OZONE,8,55,42
India,Karnataka,Gadag,"Panchal Nagar, Gadag - KSPCB","09-01-2025 18:00:00",15.411456,75.638133,OZONE,28,72,57
India,Karnataka,Raichur,"Haji Colony, Raichur - KSPCB","09-01-2025 18:00:00",16.208139,77.348417,CO,120,122,121
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB","09-01-2025 18:00:00",15.459706,75.008381,OZONE,11,116,93
India,"Madhya Pradesh",Indore,"Vijay Nagar Scheme-78, Indore - Glenmark","09-01-2025 18:00:00",22.76726,75.88710,SO2,28,30,28
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB","09-01-2025 18:00:00",10.073232,76.302765,OZONE,10,13,12
India,"Madhya Pradesh",Maihar,"Sahilara, Maihar - KJS Cements","09-01-2025 18:00:00",24.2613009,80.7231783,CO,54,112,55
India,"Madhya Pradesh",Sagar,"Civil Lines, Sagar - MPPCB","09-01-2025 18:00:00",23.838586,78.759431,OZONE,13,70,63
India,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB","09-01-2025 18:00:00",19.9775302,79.2337086,OZONE,3,32,24
India,"Madhya Pradesh",Damoh,"Shrivastav Colony, Damoh - MPPCB","09-01-2025 18:00:00",23.81748678,79.446246,CO,22,24,23
India,"Madhya Pradesh",Dewas,"Bhopal Chauraha, Dewas - MPPCB","09-01-2025 18:00:00",22.9682591,76.064118,OZONE,9,111,26
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB","09-01-2025 18:00:00",19.0243902,73.0406721,OZONE,6,186,98
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB","09-01-2025 18:00:00",19.309073,73.057223,OZONE,2,90,58
India,Maharashtra,Boisar,"Khaira, Boisar - MPCB","09-01-2025 18:00:00",19.786089,72.757971,OZONE,18,73,57
India,"Madhya Pradesh",Katni,"Gole Bazar, Katni - MPPCB","09-01-2025 18:00:00",23.50016,80.23284,OZONE,7,114,90
India,Maharashtra,Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB","09-01-2025 18:00:00",16.7143745,74.2426398,OZONE,2,39,29
India,Maharashtra,Kalyan,"Pimpleshwar Mandir, Kalyan - MPCB","09-01-2025 18:00:00",19.192056,72.9585188,OZONE,2,79,52
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB","09-01-2025 18:00:00",19.065931,72.862131,OZONE,1,95,30
India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB","09-01-2025 18:00:00",21.14472,79.107595,OZONE,1,33,26
India,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB","09-01-2025 18:00:00",21.152875,79.0517531,OZONE,2,65,51
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB","09-01-2025 18:00:00",19.854616,75.905894,OZONE,2,64,46
India,Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB","09-01-2025 18:00:00",19.2243333,72.8658113,OZONE,1,98,77
India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM","09-01-2025 18:00:00",19.19709,72.82204,OZONE,4,95,68
India,Maharashtra,Mumbai,"Colaba, Mumbai - MPCB","09-01-2025 18:00:00",18.910000,72.820000,OZONE,11,11,11
India,Maharashtra,Pimpri-Chinchwad,"Gavalinagar, Pimpri Chinchwad - MPCB","09-01-2025 18:00:00",18.63673,73.82487,OZONE,5,155,118
India,Maharashtra,"Navi Mumbai","Nerul, Navi Mumbai - MPCB","09-01-2025 18:00:00",19.008751,73.016620,OZONE,16,36,20
India,Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB","09-01-2025 18:00:00",19.950220,73.731480,OZONE,1,85,32
India,Maharashtra,Nashik,"Pandav Nagari, Nashik - MPCB","09-01-2025 18:00:00",19.9591346,73.7788008,OZONE,19,85,76
India,Mizoram,Aizawl,"Sikulpuikawn, Aizawl - Mizoram PCB","09-01-2025 18:00:00",23.7176342,92.7192841,OZONE,6,9,8
India,Nagaland,Kohima,"PWD Juction, Kohima - NPCB","09-01-2025 18:00:00",25.6635413,94.0989878,OZONE,6,13,10
India,Maharashtra,Solapur,"Ratandeep Housing Society, Solapur - MPCB","09-01-2025 18:00:00",17.65439,75.90649,OZONE,44,118,103
India,Maharashtra,"Navi Mumbai","Sanpada, Navi Mumbai - MPCB","09-01-2025 18:00:00",19.0575752,73.0151367,OZONE,2,150,95
India,Maharashtra,Pune,"Savitribai Phule Pune University, Pune - MPCB","09-01-2025 18:00:00",18.547056,73.826908,OZONE,66,109,90
India,Maharashtra,Parbhani,"Masoom Colony, Parbhani - MPCB","09-01-2025 18:00:00",19.265594,76.761463,OZONE,12,112,86
India,Maharashtra,"Navi Mumbai","Mahape, Navi Mumbai - MPCB","09-01-2025 18:00:00",19.1135051,73.008978,OZONE,22,25,23
India,Rajasthan,Bhiwadi,"RIICO Ind. Area III, Bhiwadi - RSPCB","09-01-2025 18:00:00",28.194909,76.862296,OZONE,5,29,23
India,Puducherry,Puducherry,"Jawahar Nagar, Puducherry - PPCC","09-01-2025 18:00:00",11.9309,79.8027,OZONE,45,92,78
India,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB","09-01-2025 18:00:00",26.9502929,75.730943,OZONE,12,102,52
India,Punjab,Rupnagar,"Ratanpura, Rupnagar - Ambuja Cements","09-01-2025 18:00:00",31.0325454,76.5623046,CO,116,138,129
India,Odisha,Baripada,"Meher Colony, Baripada - OSPCB","09-01-2025 18:00:00",21.941841,86.728318,OZONE,16,127,77
India,Rajasthan,Hanumangarh,"Housing Board, Hanumangarh - RSPCB","09-01-2025 18:00:00",29.610750,74.283608,OZONE,6,75,55
India,Odisha,Nayagarh,"Dabuna, Nayagarh - OSPCB","09-01-2025 18:00:00",21.847279,85.416905,OZONE,1,29,22
India,Rajasthan,Jaipur,"Mansarovar Sector-12, Jaipur - RSPCB","09-01-2025 18:00:00",26.843698,75.766894,OZONE,1,120,94
India,Odisha,Suakati,"OMC Colony, Suakati - OSPCB","09-01-2025 18:00:00",21.606865,85.510538,OZONE,70,120,101
India,TamilNadu,Cuddalore,"Semmandalam, Cuddalore - TNPCB","09-01-2025 18:00:00",11.7637683,79.7499835,OZONE,1,2,2
India,TamilNadu,Chennai,"Manali Village, Chennai - TNPCB","09-01-2025 18:00:00",13.1662,80.2584,OZONE,33,189,65
India,TamilNadu,Chennai,"Manali, Chennai - CPCB","09-01-2025 18:00:00",13.164544,80.26285,OZONE,11,25,16
India,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB","09-01-2025 18:00:00",17.4559458,78.4332152,OZONE,12,15,13
India,Rajasthan,Jaisalmer,"Sadar Bazar, Jaisalmer - RSPCB","09-01-2025 18:00:00",26.912329,70.909168,OZONE,1,123,87
India,Rajasthan,Sikar,"Radhakishan Pura, Sikar - RSPCB","09-01-2025 18:00:00",27.608912,75.153302,OZONE,2,93,66
India,Rajasthan,Udaipur,"Ashok Nagar, Udaipur - RSPCB","09-01-2025 18:00:00",24.5886166,73.6321397,OZONE,10,71,49
India,TamilNadu,Nagapattinam,"Velippalayam, Nagapattinam - TNPCB","09-01-2025 18:00:00",10.798548,79.838212,OZONE,21,75,33
India,Rajasthan,Kota,"Shrinath Puram, Kota - RSPCB","09-01-2025 18:00:00",25.14389,75.821256,OZONE,14,42,34
India,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB","09-01-2025 18:00:00",17.349694,78.451437,OZONE,17,41,30
India,Tripura,Agartala,"Bardowali, Agartala - Tripura SPCB","09-01-2025 18:00:00",23.8175497,91.2726974,OZONE,3,93,49
India,Uttar_Pradesh,Agra,"Manoharpur, Agra - UPPCB","09-01-2025 18:00:00",27.23711,78.01936,OZONE,1,10,4
India,Uttar_Pradesh,Agra,"Sanjay Palace, Agra - UPPCB","09-01-2025 18:00:00",27.19865833,78.00598056,OZONE,4,128,88
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","09-01-2025 18:00:00",26.181742,91.78063,OZONE,2,13,5
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","09-01-2025 18:00:00",26.63086,84.90051,OZONE,12,13,13
India,Bihar,Munger,"Town Hall, Munger - BSPCB","09-01-2025 18:00:00",25.376776,86.471523,OZONE,2,6,5
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","09-01-2025 18:00:00",26.0881305,87.93840336,OZONE,19,22,19
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","09-01-2025 18:00:00",26.11442,85.39813,OZONE,9,53,26
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","09-01-2025 18:00:00",21.219665,81.630094,OZONE,2,8,3
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","09-01-2025 18:00:00",30.751462,76.762879,OZONE,1,43,25
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","09-01-2025 18:00:00",13.67,79.35,OZONE,28,45,38
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","09-01-2025 18:00:00",25.7808257,84.7446768,OZONE,1,5,3
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","09-01-2025 18:00:00",25.892357,86.590325,OZONE,8,18,15
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","09-01-2025 18:00:00",24.952822,84.002396,OZONE,1,16,7
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","09-01-2025 18:00:00",28.4417,77.3217,OZONE,17,19,18
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","09-01-2025 18:00:00",12.9135218,77.5950804,OZONE,19,25,23
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB","09-01-2025 18:00:00",28.52123,76.37138,OZONE,42,53,49
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKSPCB","09-01-2025 18:00:00",34.066206,74.819820,OZONE,2,2,2
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","09-01-2025 18:00:00",23.80569,86.44268,OZONE,11,28,17
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","09-01-2025 18:00:00",20.362421,72.918013,OZONE,2,2,2
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","09-01-2025 18:00:00",28.593883,76.270653,OZONE,14,17,15
